scientific_name;french_name;group_fr;IUCN;english_name;group_en;Guinea;Liberia;Cote_Ivoire;inaturalist
Pogonornis dubius;Barbican a poitrine rouge;Oiseau;LC;Bearded barbet;Bird;y;n;n;https://www.inaturalist.org/taxa/1506318
Polyboroides typus;Gymnogne d'Afrique;Oiseau;LC;African harrier-hawk;Bird;y;y;y;https://www.inaturalist.org/taxa/5246
Prinia erythroptera;Prinia a ailes rousses;Oiseau;LC;Red-winged prinia;Bird;y;n;n;https://www.inaturalist.org/taxa/144956
Prionops plumatus;Bagadais casque;Oiseau;LC;White-crested helmetshrike;Bird;y;n;n;https://www.inaturalist.org/taxa/117070
Psalidoprocne obscura;Hirondelle fanti;Oiseau;LC;Fanti saw-wing;Bird;y;y;y;https://www.inaturalist.org/taxa/11949
Psalidoprocne sp.;Hirondelle sp.;Oiseau;NA;Saw-wing sp.;Bird;y;y;y;
Pternistis ahantensis;Francolin d'Ahanta;Oiseau;LC;Ahanta spurfowl;Bird;y;y;y;https://www.inaturalist.org/taxa/495942
Pternistis bicalcaratus;Francolin a double eperon;Oiseau;LC;Double-spurred spurfowl;Bird;y;y;y;https://www.inaturalist.org/taxa/495940
Ptilopachus petrosus;Poulette des rochers;Oiseau;LC;Stone partridge;Bird;y;n;n;https://www.inaturalist.org/taxa/1224
Ptilostomus afer;Piapiac africain;Oiseau;LC;Piapiac;Bird;y;n;n;https://www.inaturalist.org/taxa/8371
Pycnonotidae sp.;Bulbul sp.;Oiseau;NA;Bulbul sp.;Bird;y;y;y;
Pycnonotus barbatus;Bulbul des jardins;Oiseau;LC;Common bulbul;Bird;y;y;y;https://www.inaturalist.org/taxa/14588
Pyrrhurus scandens;Bulbul a queue rousse;Oiseau;LC;Leaf-love;Bird;y;y;y;https://www.inaturalist.org/taxa/144896
Rhinopomastus aterrimus;Irrisor noir;Oiseau;LC;Black scimitarbill;Bird;y;y;y;https://www.inaturalist.org/taxa/20959
Scopus umbretta;Ombrette africaine;Oiseau;LC;Hamerkop;Bird;y;y;y;https://www.inaturalist.org/taxa/3834
Scotopelia ussheri;Chouette-pecheuse rousse;Oiseau;VU;Rufous fishing-owl;Bird;n;y;y;https://www.inaturalist.org/taxa/19973
Sheppardia polioptera;Cossyphe a sourcils blancs;Oiseau;LC;Grey-winged Akalat;Bird;y;n;y;https://www.inaturalist.org/taxa/1436945
Souimanga sp.;Souimanga sp.;Oiseau;NA;Sunbird sp.;Bird;y;y;y;
Spermophaga haematina;Senegali sanguin;Oiseau;LC;Western bluebill;Bird;y;y;y;https://www.inaturalist.org/taxa/14085
Spilopelia senegalensis;Tourterelle maillee;Oiseau;LC;Laughing dove;Bird;y;n;n;https://www.inaturalist.org/taxa/1455922
Stelgidillas gracilirostris;Bulbul a bec grele;Oiseau;LC;Slender-billed greenbul;Bird;y;y;y;https://www.inaturalist.org/taxa/144884
Streptopelia hypopyrrha;Tourterelle de l'Adamaoua;Oiseau;LC;Adamawa turtle-dove;Bird;y;n;n;https://www.inaturalist.org/taxa/2958
Streptopelia semitorquata;Tourterelle a collier;Oiseau;LC;Red-eyed dove;Bird;y;y;y;https://www.inaturalist.org/taxa/2988
Streptopelia vinacea;Tourterelle vineuse;Oiseau;LC;Vinaceous dove;Bird;y;n;n;https://www.inaturalist.org/taxa/2934
Strix woodfordii;Chouette africaine;Oiseau;LC;African wood owl;Bird;y;y;y;https://www.inaturalist.org/taxa/19965
Sylvia atricapilla;Fauvette a tete noire;Oiseau;LC;Eurasian blackcap;Bird;y;y;y;https://www.inaturalist.org/taxa/15282
Tauraco persa;Touraco vert;Oiseau;LC;Green turaco;Bird;y;y;y;https://www.inaturalist.org/taxa/7200
Tchagra australis;Tchagra a tete brune;Oiseau;LC;Brown-crowned tchagra;Bird;y;y;y;https://www.inaturalist.org/taxa/8446
Tchagra senegalus;Tchagra a tete noire;Oiseau;LC;Black-crowned tchagra;Bird;y;y;y;https://www.inaturalist.org/taxa/73475
Terpsiphone rufiventer;Tchitrec a ventre roux;Oiseau;LC;Red-bellied paradise-flycatcher;Bird;y;y;y;https://www.inaturalist.org/taxa/8363
Tockus erythrorhynchus;Calao a bec rouge;Oiseau;LC;Red-billed hornbill;Bird;y;n;n;https://www.inaturalist.org/taxa/203820
Turdoides plebejus;Craterope brun;Oiseau;LC;Brown babbler;Bird;y;n;n;https://www.inaturalist.org/taxa/15057
Turdoides reinwardtii;Craterope a tete noire;Oiseau;LC;Blackcap babbler;Bird;y;n;n;https://www.inaturalist.org/taxa/145010
Turdus pelios;Merle africain;Oiseau;LC;African thrush;Bird;y;n;y;https://www.inaturalist.org/taxa/12709
Turtur abyssinicus;Tourtelette d'abyssinie;Oiseau;LC;Black-billed wood-dove;Bird;y;n;n;https://www.inaturalist.org/taxa/3332
Turtur afer;Tourtelette amethystine;Oiseau;LC;Blue-spotted wood-dove;Bird;y;y;y;https://www.inaturalist.org/taxa/3326
Turtur brehmeri;Tourtelette demoiselle;Oiseau;LC;Blue-headed wood-dove;Bird;n;y;y;https://www.inaturalist.org/taxa/3329
Turtur sp.;Tourtelette sp.;Oiseau;NA;Wood-dove sp.;Bird;y;y;y;
Turtur tympanistria;Tourtelette tambourette;Oiseau;LC;Tambourine dove;Bird;y;y;y;https://www.inaturalist.org/taxa/3328
Dendroaspis polylepis;Mamba noir;Reptile;LC;Black mamba;Reptile;y;y;y;https://www.inaturalist.org/taxa/30405
Dendroaspis viridis;Mamba vert de l'Ouest;Reptile;LC;Western green mamba;Reptile;y;y;y;https://www.inaturalist.org/taxa/30407
Accipiter toussenelii;Autour de toussenel;Oiseau;LC;Red-chested goshawk;Bird;y;y;y;
Acrocephalus scirpaceus;Rousserolle effarvatte;Oiseau;LC;Common reed-warbler;Bird;y;y;y;https://www.inaturalist.org/taxa/204455
Agelastes meleagrides;Pintade a poitrine blanche;Oiseau;VU;White-breasted guineafowl;Bird;n;y;y;https://www.inaturalist.org/taxa/1451
Atimastillas flavicollis;Bulbul a gorge claire;Oiseau;LC;Yellow-throated greenbul;Bird;y;n;n;https://www.inaturalist.org/taxa/144890
Baeopogon indicator;Bulbul a queue blanche;Oiseau;LC;Honeyguide greenbul;Bird;y;y;y;https://www.inaturalist.org/taxa/14711
Bleda eximius;Bulbul a queue verte;Oiseau;NT;Green-tailed bristlebill;Bird;n;y;y;https://www.inaturalist.org/taxa/72561
Bleda syndactylus;Bulbul moustac;Oiseau;LC;Red-tailed bristlebill;Bird;n;y;y;https://www.inaturalist.org/taxa/72563
Bostrychia olivacea;Ibis olive;Oiseau;LC;Olive Ibis;Bird;n;y;y;https://www.inaturalist.org/taxa/3744
Buccanodon dowsetti;Barbican a taches jaunes;Oiseau;LC;Yellow-spotted barbet;Bird;n;y;y;https://www.inaturalist.org/taxa/1505361
Calyptocichla serinus;Bulbul dore;Oiseau;LC;Golden greenbul;Bird;n;y;y;https://www.inaturalist.org/taxa/201173
Camaroptera chloronota;Camaroptere a dos vert;Oiseau;LC;Olive-green camaroptera;Bird;y;y;y;https://www.inaturalist.org/taxa/7737
Campephaga quiscalina;Echenilleur pourpre;Oiseau;LC;Purple-throated cuckooshrike;Bird;n;y;y;https://www.inaturalist.org/taxa/8315
Ceratogymna atrata;Calao a casque noir;Oiseau;NT;Black-casqued hornbill;Bird;n;y;y;https://www.inaturalist.org/taxa/5558
Ceratogymna elata;Calao a casque jaune;Oiseau;VU;Yellow-casqued hornbill;Bird;n;y;y;https://www.inaturalist.org/taxa/5557
Cisticola lateralis;Cisticole siffleuse;Oiseau;LC;Whistling cisticola;Bird;y;y;y;https://www.inaturalist.org/taxa/7654
Criniger barbatus;Bulbul crinon;Oiseau;LC;Western bearded greenbul;Bird;n;y;y;https://www.inaturalist.org/taxa/14651
Cyanograucalus azureus;Echenilleur bleu;Oiseau;LC;Blue cuckooshrike;Bird;n;y;y;https://www.inaturalist.org/taxa/201118
Cyanomitra cyanolaema;Souimanga a gorge bleue;Oiseau;LC;Blue-throated brown sunbird;Bird;n;y;y;https://www.inaturalist.org/taxa/145133
Dendropicos pyrrhogaster;Pic a ventre de feu;Oiseau;LC;Fire-bellied woodpecker;Bird;n;y;y;https://www.inaturalist.org/taxa/792896
Eidolon helvum;Roussette paillee africaine;Chiroptere;NT;African straw-coloured fruit bat;Bat;y;y;y;https://www.inaturalist.org/taxa/40827
Eurillas curvirostris;Bulbul curvirostre;Oiseau;LC;Plain greenbul;Bird;n;y;y;https://www.inaturalist.org/taxa/144893
Eurillas gracilis;Bulbul gracile;Oiseau;LC;Little grey greenbul;Bird;n;y;y;https://www.inaturalist.org/taxa/144891
Eurillas latirostris;Bulbul a moustaches jaunes;Oiseau;LC;Yellow-whiskered greenbul;Bird;n;y;y;https://www.inaturalist.org/taxa/144894
Guttera verreauxi;Pintade de Verreaux;Oiseau;LC;Western crested guineafowl;Bird;n;y;y;https://www.inaturalist.org/taxa/1424113
Halcyon senegalensis;Martin-chasseur du Senegal;Oiseau;LC;Woodland kingfisher;Bird;y;y;y;https://www.inaturalist.org/taxa/2337
Horizocerus albocristatus;Calao a huppe blanche;Oiseau;LC;Western long-tailed hornbill;Bird;n;y;y;https://www.inaturalist.org/taxa/512155
Illadopsis rufipennis;Akalat a poitrine blanche;Oiseau;LC;Pale-breasted illadopsis;Bird;n;y;y;https://www.inaturalist.org/taxa/15088
Ispidina picta;Martin-pecheur pygmee;Oiseau;LC;African pygmy-kingfisher;Bird;y;y;y;https://www.inaturalist.org/taxa/144655
Lonchura fringilloides;Capucin pie;Oiseau;LC;Magpie mannikin;Bird;n;y;y;https://www.inaturalist.org/taxa/145349
Lophoceros camurus;Calao pygmee;Oiseau;LC;Red-billed dwarf hornbill;Bird;n;y;y;https://www.inaturalist.org/taxa/512159
Malimbus nitens;Malimbe a bec bleu;Oiseau;LC;Blue-billed malimbe;Bird;n;y;y;https://www.inaturalist.org/taxa/13931
Pardipicus caroli;Pic a oreillons bruns;Oiseau;LC;Brown-eared woodpecker;Bird;n;y;y;https://www.inaturalist.org/taxa/1506333
Phyllastrephus icterinus;Bulbul icterin;Oiseau;LC;Icterine greenbul;Bird;n;y;y;https://www.inaturalist.org/taxa/603742
Pogoniulus subsulphureus;Barbion a gorge jaune;Oiseau;LC;Yellow-throated tinkerbird;Bird;n;y;y;https://www.inaturalist.org/taxa/117068
Stephanoaetus coronatus;Aigle couronne;Oiseau;NT;Crowned eagle;Bird;y;y;y;https://www.inaturalist.org/taxa/5323
Stiphrornis erythrothorax;Rougegorge de foret;Oiseau;LC;Orange-breasted forest-robin;Bird;y;y;y;https://www.inaturalist.org/taxa/13204
Tauraco macrorhynchus;Touraco a gros bec;Oiseau;LC;Yellow-billed turaco;Bird;n;y;y;https://www.inaturalist.org/taxa/7220
Thescelocichla leucopleura;Bulbul des raphias;Oiseau;LC;Swamp palm bulbul;Bird;y;y;y;https://www.inaturalist.org/taxa/14655
Trochocercus nitens;Tchitrec noir;Oiseau;LC;Western crested-flycatcher;Bird;y;y;y;https://www.inaturalist.org/taxa/8559
Tychaedon leucosticta;Agrobate du Ghana;Oiseau;LC;Forest scrub-robin;Bird;y;y;y;https://www.inaturalist.org/taxa/1585980
bicycle_moving;Vélo en mouvement;Objet en mouvement;NA;Bicycle (moving);Object Moving;y;y;y;
car_moving;Voiture en mouvement;Objet en mouvement;NA;Car (moving);Object Moving;y;y;y;
motorcycle_moving;Moto en mouvement;Objet en mouvement;NA;Motorcycle (moving);Object Moving;y;y;y;
bus_moving;Bus en mouvement;Objet en mouvement;NA;Bus (moving);Object Moving;y;y;y;
truck_moving;Camion en mouvement;Objet en mouvement;NA;Truck (moving);Object Moving;y;y;y;
boat_moving;Bateau en mouvement;Objet en mouvement;NA;Boat (moving);Object Moving;y;y;y;
train_moving;Train en mouvement;Objet en mouvement;NA;Train (moving);Object Moving;y;y;y;
airplane_moving;Avion en mouvement;Objet en mouvement;NA;Airplane (moving);Object Moving;y;y;y;
bicycle_stationary;Vélo à l'arrêt;Objet à l'arrêt;NA;Bicycle (stationary);Object Stationary;y;y;y;
car_stationary;Voiture à l'arrêt;Objet à l'arrêt;NA;Car (stationary);Object Stationary;y;y;y;
motorcycle_stationary;Moto à l'arrêt;Objet à l'arrêt;NA;Motorcycle (stationary);Object Stationary;y;y;y;
bus_stationary;Bus à l'arrêt;Objet à l'arrêt;NA;Bus (stationary);Object Stationary;y;y;y;
truck_stationary;Camion à l'arrêt;Objet à l'arrêt;NA;Truck (stationary);Object Stationary;y;y;y;
boat_stationary;Bateau à l'arrêt;Objet à l'arrêt;NA;Boat (stationary);Object Stationary;y;y;y;
train_stationary;Train à l'arrêt;Objet à l'arrêt;NA;Train (stationary);Object Stationary;y;y;y;
airplane_stationary;Avion à l'arrêt;Objet à l'arrêt;NA;Airplane (stationary);Object Stationary;y;y;y;
construction_vehicle_moving;Engin de chantier en mouvement;Objet en mouvement;NA;Construction Vehicle (moving);Object Moving;y;y;y;
construction_vehicle_stationary;Engin de chantier à l'arrêt;Objet à l'arrêt;NA;Construction Vehicle (stationary);Object Stationary;y;y;y;
animal;Animal (générique);Animal;NA;Animal (generic);Animal;y;y;y;
person;Personne (générique);Humain;NA;Person (generic);Human;y;y;y;
vehicle;Véhicule (générique);Véhicule;NA;Vehicle (generic);Vehicle;y;y;y;
