scientific_name;french_name;group_fr;IUCN;english_name;group_en;Guinea;Liberia;Cote_Ivoire;inaturalist
Graphiure sp.;Graphiure sp.;Rongeur;NA;Unidentified dormouse;Rodent;n;y;y;
Graphiurus nagtglasii;Graphiure d'Afrique de l'Ouest;Rongeur;LC;Nagtglas's african dormouse;Rodent;n;y;y;https://www.inaturalist.org/taxa/74391
Heliosciure sp.;Heliosciure sp.;Rongeur;NA;Unidentified sun squirrel;Rodent;y;y;y;
Heliosciurus gambianus;Heliosciure de Gambie;Rongeur;LC;Gambian sun squirrel;Rodent;y;y;y;https://www.inaturalist.org/taxa/46195
Heliosciurus rufobrachium;Heliosciure a pattes rousses;Rongeur;LC;Red-legged sun squirrel;Rodent;y;y;y;https://www.inaturalist.org/taxa/46196
Herpestes ichneumon;Mangouste ichneumon;Carnivore;LC;Egyptian mongoose;Carnivore;y;y;y;https://www.inaturalist.org/taxa/41900
Herpestes sanguineus;Mangouste rouge;Carnivore;LC;Common slender mongoose;Carnivore;y;y;y;https://www.inaturalist.org/taxa/74414
Hippopotamus amphibius;Hippopotame amphibie;Hippopotamide;VU;Hippopotamus;Hippopotamus;y;n;n;https://www.inaturalist.org/taxa/42149
Hippotragus equinus;Antilope rouanne;Bovide;LC;Roan antelope;Bovid;n;y;y;https://www.inaturalist.org/taxa/42332
Homo sapiens sapiens - poacher;Braconnier;Humain;NA;Poacher;Human;y;y;y;
Homo sapiens sapiens - camera team;Equipe camera;Humain;NA;Camera trap team;Human;y;y;y;
Homo sapiens sapiens - villager;Villageois;Humain;NA;Villager;Human;y;y;y;
Homo sapiens sapiens - construction worker;Ouvrier de construction;Humain;NA;Construction Worker;Human;y;y;y;
Hydrictis maculicollis;Loutre a cou tachete;Carnivore;NT;Spotted-neck otter;Carnivore;y;y;y;https://www.inaturalist.org/taxa/417389
Hyemoschus aquaticus;Chevrotain aquatique;Bovide;LC;Water chevrotain;Bovid;n;y;y;https://www.inaturalist.org/taxa/42105
Hylochoerus meinertzhageni;Hylochere;Suide;LC;Forest hog;Suid;y;y;y;https://www.inaturalist.org/taxa/42120
Hystrix cristata;Porc-epic a crete;Rongeur;LC;Crested porcupine;Rodent;y;y;y;https://www.inaturalist.org/taxa/44171
Ichneumia albicauda;Mangouste a queue blanche;Carnivore;LC;White-tailed mongoose;Carnivore;y;y;y;https://www.inaturalist.org/taxa/41939
