Species;Behavior
Western chimpanzee;Feeding
Western chimpanzee;Tool use
Western chimpanzee;Grooming
Western chimpanzee;Climbing
African forest elephant;Drinking
African forest elephant;Dust bathing
African forest elephant;Trumpeting
Red river hog;Rooting
Red river hog;Wallowing
Maxwell's duiker;Foraging
Maxwell's duiker;Scent marking
