Nom_scientifique;Nom_commun_francais;Groupe;IUCN;Nom_commun_anglais
Mus sp.;Souris sp.;Rongeur;NA;Mouse sp.
Musaraigne sp.;Musaraigne sp.;Rongeur;NA;Unidentified shrew
Myriapoda sp.;Millepatte;Autre;NA;Millipede
NA;NA;NA;NA;NA
Image vide;Image vide;NA;NA;Empty image
Image noire;Image noire;NA;NA;Black image
Illisible;Video illisible;NA;NA;Unreadable video
Video vide;Video vide;NA;NA;Empty video
Naja guineensis;Cobra de foret noir;Reptile;NE;Black forest cobra
Naja savannula;Naja savannula;Reptile;LC;West African banded cobra
Nandinia binotata;Nandinie;Carnivore;LC;African palm civet
Neotragus pygmaeus;Antilope royale;Bovide;LC;Royal antelope
Orycteropus afer;Oryct�rope du Cap;Tubulidente;LC;Aardvark
Ovis aries;Mouton;Domestique;NA;Sheep
Pan troglodytes verus;Chimpanze;Primate;CR;Western chimpanzee
Panthera leo;Lion;Carnivore;VU;Lion
Panthera pardus;Leopard;Carnivore;VU;Leopard
Papillon sp.;Papillon sp.;NA;NA;Unidentified butterfly
Papio papio;Babouin de Guinee;Primate;NT;Guinea baboon
Paraxerus poensis;Ecureuil de Fernando Po;Rongeur;LC;Green bush squirrel
Phacochoerus africanus;Phacochere commun;Suide;LC;Common warthog
Phataginus tetradactyla;Pangolin a longue queue;Pangolin;VU;Black-bellied pangolin
Phataginus tricuspis;Pangolin a petites ecailles;Pangolin;EN;White-bellied pangolin
Philantomba maxwellii;Cephalophe de Maxwell;Bovide;LC;Maxwell's duiker
Piliocolobus badius badius;Colobe bai d'Afrique occidentale;Primate;EN;Bay colobus
Poiana leightoni;Linsang de Leighton;Carnivore;VU;West african oyan
Potamochoerus porcus;Potamochere roux;Suide;LC;Red river hog
Procavia capensis;Daman des rochers;Hyracoide;LC;Rock hyrax
Procolobus verus;Colobe vert olive;Primate;VU;Olive colobus
Protoxerus aubinnii;Ecureuil d'Aubin;Rongeur;NT;Slender-tailed squirrel
Protoxerus stangeri;Ecureuil de Stanger;Rongeur;LC;Forest giant squirrel
Reptile sp.;Reptile sp.;Reptile;NA;Reptile sp.
Rongeur sp.;Rongeur sp.;Rongeur;NA;Rodent sp.
Serpent sp.;Serpent sp.;Reptile;NA;Snake sp.
Singe sp.;Singe sp.;Primate;NA;Monkey sp.
Smutsia gigantea;Pangolin geant;Pangolin;EN;Giant ground pangolin
Sylvicapra grimmia;Cephalophe de Grimm;Bovide;LC;Common duiker
Syncerus caffer nanus;Buffle nain;Bovide;NT;African buffalo
Thryonomys swinderianus;Grand aulacode;Rongeur;LC;Greater cane rat
Tortue sp.;Tortue sp.;Reptile;NA;Unidentified tortoise
Tragelaphus eurycerus;Bongo;Bovide;NT;Bongo
Tragelaphus scriptus;Guib harnache;Bovide;LC;Bushbuck
Varanus exanthematicus;Varan des savanes;Reptile;LC;Savanna monitor
Varanus niloticus;Varan du Nil;Reptile;LC;Nile monitor
Varanus sp.;Varan sp.;Reptile;NA;Monitor sp.
Villageois;Homme;Humain;NA;Villager
Xerus erythropus;Ecureuil fouisseur;Rongeur;LC;Striped ground squirrel

